Country Name,Code,gdp_capita
Aruba,ABW,30253
Africa Eastern and Southern,AFE,1360
Afghanistan,AFG,517
Africa Western and Central,AFW,1710
Angola,AGO,1776
Albania,ALB,5246
Andorra,AND,40897
Arab World,ARB,5613
United Arab Emirates,ARE,36285
Argentina,ARG,8579
Armenia,ARM,4266
American Samoa,ASM,12845
Antigua and Barbuda,ATG,13993
Australia,AUS,51693
Austria,AUT,48587
Azerbaijan,AZE,4221
Burundi,BDI,239
Belgium,BEL,45159
Benin,BEN,1291
Burkina Faso,BFA,858
Bangladesh,BGD,1962
Bulgaria,BGR,10079
Bahrain,BHR,20410
"Bahamas, The",BHS,25194
Bosnia and Herz.,BIH,6080
Belarus,BLR,6424
Belize,BLZ,4115
Bermuda,BMU,107079
Bolivia,BOL,3133
Brazil,BRA,6797
Barbados,BRB,15374
Brunei Darussalam,BRN,27443
Bhutan,BTN,3001
Botswana,BWA,6405
Central African Rep.,CAF,493
Canada,CAN,43295
Central Europe and the Baltics,CEB,16168
Switzerland,CHE,87097
Channel Islands,CHI,
Chile,CHL,13232
China,CHN,10435
Côte d'Ivoire,CIV,2326
Cameroon,CMR,1537
Dem. Rep. Congo,COD,544
Congo,COG,1846
Colombia,COL,5335
Comoros,COM,1421
Cabo Verde,CPV,3064
Costa Rica,CRI,12141
Caribbean small states,CSS,8874
Cuba,CUB,9478
Curacao,CUW,16746
Cayman Islands,CYM,85083
Cyprus,CYP,27528
Czechia,CZE,22931
Germany,DEU,46208
Djibouti,DJI,3425
Dominica,DMA,7004
Denmark,DNK,61063
Dominican Rep.,DOM,7268
Algeria,DZA,3307
East Asia & Pacific (excluding high income),EAP,8255
Early-demographic dividend,EAR,3202
East Asia & Pacific,EAS,11478
Europe & Central Asia (excluding high income),ECA,7669
Europe & Central Asia,ECS,23955
Ecuador,ECU,5600
Egypt,EGY,3569
Euro area,EMU,37968
Eritrea,ERI,643
Spain,ESP,27063
Estonia,EST,23027
Ethiopia,ETH,936
European Union,EUU,34149
Fragile and conflict affected situations,FCS,1622
Finland,FIN,48745
Fiji,FJI,5058
France,FRA,39030
